Company,Brief Description,Protein category,B2B/B2C,Company focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State (U.S. only),HQ City,Website,Year founded,Founders
Amano Enzymes,Global leader in speciality enzymes used to elevate products from plant milks and meats to pharmaceuticals ,Precision fermentation,B2B,"Ingredients and inputs,Bioprocessing infrastructure and equipment",Diversified,,,,,United States and Canada,United States,Illinois ,Elgin,https://www.amano-enzyme.com/,1899,
Amazonika Mundi,"Brazil-based company producing various plant-based meat products, including burgers and meatballs, using Brazilian vegetables and fruits",Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Beef/veal,Pork","Cashew,Quinoa,Chickpea",Latin America,Brazil,,Niterói,https://amazonikamundi.com.br/,2012,Thiago and Bruno Rosolem
Ambrosia Sciences,"Cultured meat production using our proprietary technology to create whole-cuts of meat (the unfair advantage), using less growth media (main cost pain point for cultured meat), and creating designer marbled steak products having muscle and fat for different customer requirement",Cultivated,"B2C,B2B","Meat,Seafood,Ingredients and inputs",Specialized (focused on alternative proteins),"Scaffolding and structure,Ingredient optimization,End product formulation and manufacturing,Cell line development,Bioprocess design,Cell culture media","Whole muscle meat/seafood,Ground meat/seafood,Oils and fats","Pork,Beef/veal,Mutton/lamb,Other fish,Tuna",,Asia Pacific,Singapore,,Singapore,https://www.ambrosiasciences.com,2021,"Rodger Ng, Anand Retnam, Nicholas Ong"
"Amêndoas
  do Brasil","Brazilian cashew supplier for plant-based dairy applications.
",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,Cashew,Latin America,Brazil,,Fortaleza,http://www.amendoasdobrasil.com.br/,1992,
América Pampa,Argentina-based company aimed at the  industrialization of soy protein,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,Soy,Latin America,Argentina,,Buenos Aires,http://americapampa.com/en/america-pampa-ing/,2009,
American Laboratories,"US-based ingredient manufacturer of human nutrition, pet nutrition, and food processing products. ",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,,United States and Canada,United States,Nebraska,Omaha,https://americanlaboratories.com/,1967,
American Sorghum,US-based solution to the sorghum supply chain.,Plant-based,B2B,"Food processing infrastructure and equipment,Contract manufacturing/processing,Ingredients and inputs",Diversified,"Crop development,End product formulation and manufacturing",Ingredients,,,United States and Canada,United States,New York ,Poughkeepsie,https://www.americansorghum.com,2013,Joshua Auerbach
Amica Natura,Frozen food distributor based in Italy. ,Plant-based,"B2C,B2B",Meat,Diversified,End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Chicken,Other","Soy,Chickpea",Europe,Italy,,Bedizzole,https://www.amicanatura.it/amica-natura-veggie-vegan/?lang=en%22,1987,
Amy's Kitchen,"Produces vegetarian and vegan frozen entrees, meals and meat alternatives. ",Plant-based,B2C,Meat,Diversified,End product formulation and manufacturing,Ground meat/seafood,Beef/veal,,United States and Canada,United States,California,Petaluma,http://www.amys.com/,1987,"Andy Berliner, Rachel Berliner"
aMYLK,U.S.-based company producing plant-based milk.,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Hazelnut,Almond",United States and Canada,United States,Oregon,Portland,https://amylkshop.com/,2016,Amy Colville
Anamma Foods,"Sweden-based company that produces various plant-based meat products, as well as plant-based pizza and buns.",Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood,Other","Beef/veal,Chicken,Pork","Soy,Pea",Europe,Sweden,,Malmö,https://www.anamma.eu/,1998,
Anchor Ingredients,Ingredients distributor,Plant-based,B2B,Ingredients and inputs,Diversified,,,,"Pea,Wheat,Potato,Fava bean",United States and Canada,United States,North Dakota,Fargo,https://anchoringredients.com/,2015,
Ancrée,French plant-based caviar brand.,Plant-based,B2C,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,Other fish,Seaweed,Europe,France,,Montrouge,https://ancree.com/,2024,Lucille Battafarano and Emilie Battafarano
Andean Naturals,Builds partnerships with quinoa farmers in Bolivia,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,Quinoa,Latin America,United States,California,Yuba City ,https://www.andeannaturals.com,2004,
ANDFOODS,"Focus on using pulses to create protein and nutrient rich dairy alternatives using fermentation processes, that hold their shape and are allergen free. They can be used for bakery, confectionary, frozen desserts, toppings and creamers, whipping cream, and barista milk. ",Plant-based,B2B,Dairy,Specialized (focused on alternative proteins),,"Other dairy,Milk",,,Australia/New Zealand,New Zealand,,Palmerston North,https://andfoods.co/,2023,"Arup Nag, Alejandra Acevedo Fani, Debashree Roy, Harjinder Singh, Yiran Wang"
Andros,"French multi-national company manufacturing a range of fruit, dairy, and plant-based dairy products.",Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Other dairy,,"Coconut,Soy,Almond,Rice",Europe,France,,Biars-sur-Cère,https://www.andros.fr/,1959,Jean Gervoson and Pierre Chapoulart
Angel Food,New Zealand's original vegan cheese company.,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,"Pea,Potato",Australia/New Zealand,New Zealand,,Auckland,https://www.angelfood.co.nz/,2006,Alice Shopland
Angel Yeast,China's leading yeast manufacturer providing yeast protein ingredients ,"Biomass fermentation,Fermentation-derived",B2B,Ingredients and inputs,Diversified,"Bioprocess design,Ingredient optimization",Ingredients,,Yeast,Asia Pacific,Mainland China,,Hubei Yichang,https://en.angelyeast.com/ ,1986,
Annora Alimentos,Plant-based dairy company in Brazil.,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Cheese,Other dairy",,"Cashew,Coconut,Soy,Pea,Almond",Latin America,Brazil,,Curitiba,https://www.annora.com.br/,2017,
Another Foods,"Another Foods is a food technology company focused on creating the best alternative protein. Our verticals include providing standardised and customised products for the HORECA sector, white-labelling for other FnB brands and sourcing products required for the food service industry. Having our own lab and factory gives us the advantage of constant innovation and flexibility needed in India's alternative protein space. ",Plant-based,B2B,Meat,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Crop development,Ingredient optimization",Ground meat/seafood,,,Asia Pacific,India ,,Mumbai, http://anotherfoods.com/,2022,Sharvil Desai
ANPOLY,A company that uses nanocellulose to improve the texture of alternative meat and alternative foods.,"Plant-based,Cultivated","B2C,B2B",Ingredients and inputs,Diversified,"Scaffolding and structure,Ingredient optimization",Ingredients,,,Asia Pacific,South Korea,,POHANG,https://www.anpolyinc.com/,2017,RHO
Anthology,"US-based evolution company that engineers non-model organisms (fungi, bacteria, plants) to scale bioproduction. ","Precision fermentation,Biomass fermentation","B2C,B2B","Dairy,Ingredients and inputs,Bioprocessing infrastructure and equipment,Eggs",Diversified,"Ingredient optimization,Cell line development,Host strain development","Milk,Ingredients,Eggs,Other",Other,,United States and Canada,United States,Massachusetts,Cambridge,https://www.anthology.bio,2023,"Jing Zhang, Tzu-Chieh Tang"
Ants Innovate,"Singapore-based deep tech company focusing on developing cultivated whole meat cuts, including pork.  ","Cultivated,Plant-based","B2C,B2B","Meat,Food processing infrastructure and equipment",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Scaffolding and structure",Whole muscle meat/seafood,Pork,,Asia Pacific,Singapore,,Singapore,https://www.antsinnovate.com/,2020,"Shujian On, Hanry Yu"
Aoste,French charcuterie company that has launched plant-based meat alternatives under the Better Balance brand.,Plant-based,B2B,Meat,Diversified,End product formulation and manufacturing,"Ground meat/seafood,Cheese","Beef/veal,Pork","Pea,Soy,Potato",Europe,France,,Saint-Priest,https://www.betterbalancefoods.com/,1976,
AQUA,U.S.-based company that produces whole-muscle cut sushi-quality seafood alternatives using microbial fermentation ,Biomass fermentation,B2C,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,,,United States and Canada,United States,Illinois ,Chicago,https://www.aquaculturedfoods.com/,2021,"Brittany Chibe, Anne Palermo"
Aquafarmtory,,Precision fermentation,B2B,"Dairy,Ingredients and inputs",Specialized (focused on alternative proteins),"Ingredient optimization,Bioprocess design,Target molecule selection","Ingredients,Other dairy",Other,"Whey,Casein",Asia Pacific,Mainland China,,"Suzhou, Jiangsu",https://www.aquafarmtory.com/en,2023,
Arborea,Arborea supplies net-zero proteins and functional ingredients with alternative protein applications including NOvo functional protein (egg alternative) and protein concentrates. ,Plant-based,B2B,Ingredients and inputs,Diversified,"End product formulation and manufacturing,Ingredient optimization,Host strain development,Target molecule selection",Ingredients,,"Algae,Microalgae",Europe,United Kingdom,,London,https://arborea.io/,2016,
Arche,"Germany-based producer of a variety of European and Asian products, including jackfruit and seitan.",Plant-based,B2C,Meat,Diversified,End product formulation and manufacturing,Other meat/seafood,,"Wheat,Jackfruit,Soy",Europe,Germany,,Hilden,https://www.arche-naturkueche.de/de/,1985,Stefan Schmidt
Arivia,Conventional cheese company in Greece with a line of vegan cheeses under their VioFast brand.,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Coconut,Europe,Greece,,Thessaloniki,https://arivia.com/products-by-type/,1990,
Ark Bio,"Brazilian precision fermentation company offering new functional protein ingredients produced by fermenting agricultural co-products, enabling a circular economy.",Precision fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Host strain development,,,,Latin America,Brazil,,Florianópolis,https://arkbio.com.br/,2022,Marília Knychala; Jaciane Ienczak; Débora Trichez
Ark Biotech,"U.S.-based company that produces scalable, affordable bioreactors and operating systems for the industrial production of cultivated meat",Cultivated,B2B,Food processing infrastructure and equipment,Specialized (focused on alternative proteins),Bioprocess design,Other meat/seafood,,,United States and Canada,United States,Massachusetts,Cambridge,https://www.ark-biotech.com,2021,Yossi Quint
Arkeon Biotechnologies,Austria-based company using gas fermentation to produce protein. ,Biomass fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),"Bioprocess design,Feedstocks,Ingredient optimization",Ingredients,,CO2,Europe,Austria,,Tulln,https://arkeon.bio/,2009,"Gregor Tegl, Günther Bochmann, and Simon Rittmann "
Arla JÖRĐ,"Plant-based brand owned by Arla Foods, producing oat based drinks and oat based fermented products.",Plant-based,B2B,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,Oat,Europe,Denmark,,,https://www.arlafoods.co.uk/brands/arla-jord/,2020,
ARMI BioFabUSA,"US-based institute focused on making the manufacturing of engineered tissues and related technologies scalable, consistent and cost-effective, with an emphasis on medical applications. ",Cultivated,B2B,Bioprocessing infrastructure and equipment,Diversified,Bioprocess design,,,,United States and Canada,United States,New Hampshire,Manchester,https://www.armiusa.org/biofabusa/,2016,
Armored Fresh,Armored Fresh vegan cheese provides flavor and taste comparable to regular cow-milk based cheese by fermenting plant-based protein milk the same way as natural cheese.,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,,"Asia Pacific,United States and Canada",South Korea,,,http://www.armoredfresh.com/,2021,Oh Kyung-ah
Art of Greens,Germany-based company that produces plant-based meat and fish products for wholesale market of german restaurant and catering industries.,Plant-based,B2B,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Whole muscle meat/seafood","Beef/veal,Chicken,Pork,Other fish,Other shellfish,Mutton/lamb,Tuna,Salmon","Soy,Wheat",Europe,Germany,,Berlin,https://artofgreens.de/,2017,William Kong
